@relation zoo-weka.filters.unsupervised.attribute.NominalToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R19-24

@attribute animal {aardvark,antelope,bass,bear,boar,buffalo,calf,carp,catfish,cavy,cheetah,chicken,chub,clam,crab,crayfish,crow,deer,dogfish,dolphin,dove,duck,elephant,flamingo,flea,frog,fruitbat,giraffe,girl,gnat,goat,gorilla,gull,haddock,hamster,hare,hawk,herring,honeybee,housefly,kiwi,ladybird,lark,leopard,lion,lobster,lynx,mink,mole,mongoose,moth,newt,octopus,opossum,oryx,ostrich,parakeet,penguin,pheasant,pike,piranha,pitviper,platypus,polecat,pony,porpoise,puma,pussycat,raccoon,reindeer,rhea,scorpion,seahorse,seal,sealion,seasnake,seawasp,skimmer,skua,slowworm,slug,sole,sparrow,squirrel,starfish,stingray,swan,termite,toad,tortoise,tuatara,tuna,vampire,vole,vulture,wallaby,wasp,wolf,worm,wren}
@attribute hair {false,true}
@attribute feathers {false,true}
@attribute eggs {false,true}
@attribute milk {false,true}
@attribute airborne {false,true}
@attribute aquatic {false,true}
@attribute predator {false,true}
@attribute toothed {false,true}
@attribute backbone {false,true}
@attribute breathes {false,true}
@attribute venomous {false,true}
@attribute fins {false,true}
@attribute legs numeric
@attribute tail {false,true}
@attribute domestic {false,true}
@attribute catsize {false,true}
@attribute type=mammal numeric

@data
pussycat,true,false,false,true,false,false,true,true,true,true,false,false,4,true,true,true,1
raccoon,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
reindeer,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,1
rhea,false,true,true,false,false,false,true,false,true,true,false,false,2,true,false,true,0
scorpion,false,false,false,false,false,false,true,false,false,true,true,false,8,true,false,false,0
seahorse,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,0
seal,true,false,false,true,false,true,true,true,true,true,false,true,0,false,false,true,1
sealion,true,false,false,true,false,true,true,true,true,true,false,true,2,true,false,true,1
seasnake,false,false,false,false,false,true,true,true,true,false,true,false,0,true,false,false,0
seawasp,false,false,true,false,false,true,true,false,false,false,true,false,0,false,false,false,0
skimmer,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,0
skua,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,0
slowworm,false,false,true,false,false,false,true,true,true,true,false,false,0,true,false,false,0
slug,false,false,true,false,false,false,false,false,false,true,false,false,0,false,false,false,0
sole,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,0
sparrow,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,0
squirrel,true,false,false,true,false,false,false,true,true,true,false,false,2,true,false,false,1
starfish,false,false,true,false,false,true,true,false,false,false,false,false,5,false,false,false,0
stingray,false,false,true,false,false,true,true,true,true,false,true,true,0,true,false,true,0
swan,false,true,true,false,true,true,false,false,true,true,false,false,2,true,false,true,0
termite,false,false,true,false,false,false,false,false,false,true,false,false,6,false,false,false,0
toad,false,false,true,false,false,true,false,true,true,true,false,false,4,false,false,false,0
tortoise,false,false,true,false,false,false,false,false,true,true,false,false,4,true,false,true,0
tuatara,false,false,true,false,false,false,true,true,true,true,false,false,4,true,false,false,0
tuna,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,0
vampire,true,false,false,true,true,false,false,true,true,true,false,false,2,true,false,false,1
vole,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,false,1
vulture,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,true,0
wallaby,true,false,false,true,false,false,false,true,true,true,false,false,2,true,false,true,1
wasp,true,false,true,false,true,false,false,false,false,true,true,false,6,false,false,false,0
wolf,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
worm,false,false,true,false,false,false,false,false,false,true,false,false,0,false,false,false,0
wren,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,0
