@relation mushroom-weka.filters.unsupervised.attribute.NominalToBinary-A-Rlast-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Resample-S1-Z11.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z75.0-no-replacement

@attribute cap-shape {b,c,f,k,s,x}
@attribute cap-surface {f,g,s,y}
@attribute cap-color {b,c,e,g,n,p,r,u,w,y}
@attribute bruises? {f,t}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute gill-attachment {a,d,f,n}
@attribute gill-spacing {c,d,w}
@attribute gill-size {b,n}
@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute stalk-shape {e,t}
@attribute stalk-root {b,c,e,r,u,z}
@attribute stalk-surface-above-ring {f,k,s,y}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute stalk-color-above-ring {b,c,e,g,n,o,p,w,y}
@attribute stalk-color-below-ring {b,c,e,g,n,o,p,w,y}
@attribute veil-type {p,u}
@attribute veil-color {n,o,w,y}
@attribute ring-number {n,o,t}
@attribute ring-type {c,e,f,l,n,p,s,z}
@attribute spore-print-color {b,h,k,n,o,r,u,w,y}
@attribute population {a,c,n,s,v,y}
@attribute habitat {d,g,l,m,p,u,w}
@attribute class=p numeric

@data
f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,0
b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,0
b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,0
b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,0
x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,0
x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,0
f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,1
x,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,0
f,s,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,0
x,s,y,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,0
b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,0
x,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,0
x,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,0
x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,0
x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,0
x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,g,0
x,f,n,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d,0
x,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,0
x,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,0
f,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,0
x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,0
f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p,0
x,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u,0
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,0
s,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,0
b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,0
f,s,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,0
x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,0
f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,0
b,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,0
f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g,0
x,f,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,0
f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,0
b,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,0
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g,1
f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,p,0
b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,0
x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,0
x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,0
x,s,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,0
x,s,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,0
x,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,0
x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g,1
x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,0
x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,0
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,1
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g,1
s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,0
f,f,y,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,0
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g,1
s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,0
x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,0
x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,0
b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,0
f,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,0
x,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,0
f,f,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,0
f,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g,0
x,y,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,y,d,0
f,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,0
x,f,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d,0
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,1
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,1
f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,0
f,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,0
x,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,0
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,1
f,f,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,0
x,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,0
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,1
f,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,0
f,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,0
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,1
f,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,0
f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,p,0
f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,0
f,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,0
x,y,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,0
f,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,0
x,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g,0
f,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,0
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,1
x,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d,0
x,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,0
x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,0
f,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,0
x,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g,0
x,f,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g,0
f,s,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,0
x,f,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,0
x,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,0
x,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,0
x,f,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d,0
f,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,0
x,s,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,0
x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,0
f,s,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,0
x,s,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,0
x,s,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,0
f,s,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g,0
f,f,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,0
x,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,0
x,s,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,0
f,s,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,0
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g,1
b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,0
f,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,a,g,0
x,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,0
x,y,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d,0
x,f,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,0
x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,0
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,1
x,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g,0
x,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d,0
f,f,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,0
x,s,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,0
x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,0
x,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,d,0
x,s,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,0
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g,1
x,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,0
x,f,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,0
x,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,0
x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,0
x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,0
x,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,0
f,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,0
x,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,0
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,1
x,f,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,0
x,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,0
x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,0
f,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,0
f,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g,0
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,1
x,f,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d,0
x,f,n,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,0
x,f,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,0
x,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g,0
x,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,0
f,f,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,v,d,0
x,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,0
x,s,n,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g,0
f,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,0
x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,0
f,f,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,0
x,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g,0
f,f,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,0
x,f,g,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,0
f,f,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d,0
x,f,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d,0
x,f,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d,0
x,y,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,0
x,f,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,y,d,0
f,f,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,0
x,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,0
x,y,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,0
f,y,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,0
x,y,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d,0
f,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,0
f,f,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d,0
f,y,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d,0
x,f,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,0
f,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d,0
x,y,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d,0
x,f,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d,0
x,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,0
f,f,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d,0
x,y,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d,0
x,y,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,0
x,y,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,0
x,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,k,v,d,0
x,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g,0
x,f,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,y,d,0
f,f,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,0
x,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d,0
f,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,y,d,0
x,f,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,d,0
f,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,0
x,y,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d,0
f,f,g,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d,0
x,f,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d,0
x,f,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d,0
x,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,0
x,f,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,0
f,f,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d,0
x,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,v,d,0
x,f,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,0
x,f,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,d,0
x,f,g,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d,1
x,y,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,v,d,0
x,y,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,k,v,d,0
x,y,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,0
x,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,v,d,0
x,f,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d,0
x,f,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d,0
x,f,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d,0
x,y,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,y,d,0
x,y,n,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,v,d,0
x,f,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,y,d,0
f,f,n,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,0
x,y,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d,0
f,f,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d,0
x,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d,0
x,y,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,v,d,0
x,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d,0
f,f,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d,0
x,y,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d,0
x,y,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,0
x,y,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d,0
x,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,0
x,f,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d,0
x,f,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,0
f,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,y,d,0
x,y,e,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,n,y,d,0
x,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,0
f,f,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d,0
x,f,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p,1
f,y,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d,0
x,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p,1
f,y,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d,0
f,f,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,y,d,0
x,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,g,1
x,f,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p,1
x,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g,1
x,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,1
f,y,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,y,d,0
x,y,e,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,d,0
f,y,g,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,y,d,0
f,y,g,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d,0
x,s,g,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d,1
x,f,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,1
f,y,e,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,k,v,d,0
x,f,w,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d,1
x,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,p,1
x,s,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d,1
x,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,g,1
f,f,e,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,k,y,d,0
f,y,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d,0
f,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,d,0
f,f,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,0
x,f,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p,1
x,f,p,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d,1
f,f,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d,0
x,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,0
x,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,d,1
f,y,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d,0
f,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,0
f,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,y,d,0
f,y,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,v,d,0
f,f,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,y,d,0
f,f,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d,0
x,f,g,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,d,1
x,f,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,v,d,0
x,f,w,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d,1
f,y,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,y,d,0
x,f,g,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,v,d,1
f,y,n,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,0
f,f,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d,0
f,y,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,v,d,0
x,s,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d,1
